,hebrewFromSub,englishFromSub,englishTranslation,ratio
332,-קודי! אל תזוז !,- Cody don't move ,-Cody! do not move !,90
333,רק תסתכלי עליה ,Just look at her ,Just look at her,100
334,תראי איזה גודל היא ,Look at the size of her ,Look what size it is,60
335,הציפור הנדירה ביותר בעולם ,The rarest bird in the world ,The rarest bird in the world,100
336,הציפור הזו תהפוך אותי לעשיר ,That bird's gonna make me rich ,This bird will make me rich,70
337,עשיר כהוגן ,Filthy rich ,Fairly rich,82
338,השגתי את מה שרציתי ,I got what I want ,I got what I wanted,94
339,עכשיו מה ג'ואנה רוצה ,Now what does Joanna want ,Now what Joanna wants,87
340,האם היא רוצה לדאוג שהציפור הזו תישאר נדירה ,Does she want to make sure that bird stays rare ,Does she want to make sure this bird stays rare,96
341,את רוצה אותן ,You want 'em ,You want them,92
342,את רוצה אותן ,You want 'em ,You want them,92
343,לכי תשיגי אותן!,Go get 'em!,Go get them!,60
344,לא!,No!,No!,100
345,מה הבעיה ג'ואנה ,Why whatever's the matter Joanna ,What's the problem Joanna,67
346,ג'ואנה! תזדרזי ותאכלי כבר את הביצים האלו!,Joanna you hurry up and eat those eggs!,Joanna! Hurry up and eat those eggs already!,85
347,ותזיזי את הזנב שלך חזרה למעלה!,And get your tail up here!,And move your tail back up!,75
348,זוזי!,Move it!,Move!,73
349,בנות ,Girls ,girls,100
350,בנות אני כאן!,Girls I'm here!,Girls I'm here!,100
351,איפה אתם אפרוחים קטנים שלי ,Where are you you little chickies you ,Where are you my little chicks,81
352,וילבור ,Wilbur ,Wilbur,100
353,וילבור!,Wilbur ,Wilbur!,100
354,לעולם אל תעשה לי את זה שוב!,Don't ever do that to me again!,Never do that to me again!,80
355,אוי לי!,Oh boy!,Oh boy!,100
356,איבדתי הרבה נוצות עכשיו ,I lost a lot of feathers on that one ,I lost a lot of feathers now,78
357,וילבור אני שמח לראות אותך ,Wilbur am I glad to see you ,Wilbur I'm glad to see you,91
358,-תעזור לי עם הביצים האלו ,- Give me a hand with these eggs will ya ,- Help me with these eggs,66
359,רגע רגע ,Wait a minute ,Wait a minute,100
360,מה אתה עושה כאן למעלה ,What the heck are you doin' up here anyway ,What are you doing up here,75
361,החוטף לקח את הילד ואת ג'ייק ואת גברת ביאנקה ,The kidnapper took the boy and Jake and Miss Bianca ,The kidnapper took the boy and Jake and Mrs. Bianca,97
362,גברת ביאנקה ,Miss Bianca ,Mrs. Bianca,86
363,גברת ביאנקה בצרות ,Miss Bianca's in trouble Whoa!,Mrs. Bianca in trouble,80
364,אנחנו מוכרחים לעשות משהו ,W-We got to do something ,We have to do something,81
365,ברנארד אני מאוכזב ממך ,Bernard I'm disappointed in you ,Bernard I'm disappointed with you,88
366,מתחבא כאן מתחת לקן בזמן שגברת ביאנקה זקוקה לעזרתנו ,Hiding under a nest while Miss Bianca needs our help ,Hiding here under the nest while Mrs. Bianca needs our help,87
367,-וילבור ,Wilbur ,Wilbur,100
368,כדאי שתתחיל לחפש אחריה במדבר  ואני אסרוק את קו החוף!,I-I-I-I- - You should start searching the desert for her And I-,You better start looking for her in the desert and I'll scan the shoreline!,72
369,-וילבור ,Wilbur ,Wilbur,100
370,-זה מה שנעשה !,- Wilbur - That's what I'll do ,- That's what we're done!,62
371,-וילבור !,Wilbur ,- Wilbur!,100
372,מה ,What ,what,100
373,תקשיב יש כמה אפרוחים כאן שזקוקים לעזרתך ,Now listen There are some chicks right here that need your help ,Listen there are some chicks here who need your help,83
374,באמת ,Really ,really,100
375,או לא ,Oh no ,or not,73
376,חכה רגע עצור ,Wait a minute ,Wait a minute stop,84
377,אני יודע על מה אתה חושב ואתה טועה ,I know what you're thinkin' and you're wrong Don't even- - No!,I know what you're thinking and you're wrong,85
378,אל תסתכל עלי ככה ,Don't look at me like that ,Do not look at me like that,94
379,"אתה מקבל ""לא"" ממני ","You're getting ""no"" from me ","You get a ""no"" from me",80
380,אתה מבין ,You understand ,Do you understand,90
381,אני לעולם לא אשב על הביצים האלה ,No I will not ever sit on those eggs ,I will never sit on those eggs,82
382,אני חייב ללמוד להיות יותר אסרטיבי ,Gotta learn to be more assertive ,I must learn to be more assertive,83
383,לא זה לא זה לא ,No is no is no ,No it's not it's not,71
384,היי!,Hey!,Hey!,100
385,תפסיקו לזוז שם בפנים ,Quit moving' in there ,Stop moving in there,85
386,ובכן ג'ואנה נראה שגברת המזל החליטה סוף סוף לחייך אלינו ,Well Joanna it looks like lady luck  has finally decided to smile on us ,Well Joanna it seems the lucky lady has finally decided to smile at us,81
387,הכל הולך בדרך שלנו ,Everything's going our way ,Everything goes our way,86
388,אתה לא יכול לעשות את זה!,You can't do this!,You can not do it!,82
389,אתה נכנס לצרות גדולות!,You're gonna get in big trouble!,You're in big trouble!,81
390,אני אספר לפקחים איפה אתה!,I'll tell the Rangers where you are!,I'll tell the inspectors where you are!,79
391,כמעט שכחתי ,I almost forgot ,I've almost forgotten,83
392,יש לנו קצה פרום שצריך לקשור נכון ילדה ,We got a loose end to tie up haven't we girl ,We have a prom tip that needs to be tied right girl,61
393,תרגע קודי ,Now now Cody ,Calm down Cody,62
394,אסור לאבד תקווה ,We mustn't lose hope ,Hope must not be lost,73
395,-ברנארד עדיין בסביבה ,- Bernard is still out there ,- Bernard is still around,65
396,-בדיוק ,Really ,-exactly,62
397,אם מישהו יכול להוציא אותנו מהבוץ הזה זה ברנו ,If anyone can get us out of this scrape it's ol' Berno ,If anyone can get us out of this mud it's Brno,85
398,אתה לא מכיר את ברנארד כמוני ,You don't know Bernard like I do ,You do not know Bernard as much as I do,76
399,הוא לעולם לא יוותר ,He'll never give up ,He will never give up,80
400,אוי אוי,Oh no ,Oh oh,80
401,אהם אהם!,Uh uh- - Ahem ahem!,Ahem ahm!,70
402,תסלח לי ,Uh excuse me ,Excuse me,86
403,אתה מוכן ילד ,Are you ready boy ,"You're ready, kid",73
404,הגיע הזמן שתלמד איך לדוג קרוקודילים ,It's time you learned how to fish for crocs ,It's time for you to learn how to fish crocodiles,89
405,הם אוהבים כשמשתמשים בפיתיון חי ,They like it when you use live bait ,They love when using live bait,77
406,ואתה חי כשהם מגיעים ,They like it when you use live bait ,And you live when they arrive,72
407,"""לך יש חבל ולי יש מקל ידידי",You get a line and I'll get a pole friend,"""You have a rope and I have a stick my friend",66
408,"""נצא לדוג בבור הקרוקודילים  נכון מאוד חמודות!",We'll go fishing in the crocodile hole buddy pal ofmine That's right babies! Supper time!,"""We'll go fishing in the very right crocodile pit!",64
409,זה לא נראה טוב גברת ב אני לא רואה שום דרך לצאת מכאן ,It don't look good Miss B I can't see any way out of this one ,It does not look good lady in I do not see any way out of here,63
410,ברנארד בבקשה תמהר ,Oh Bernard please hurry ,Bernard please hurry,93
411,"""ידידי  זה הרעיון שלי לבילוי!",Pal ofmine Now this is my idea of fun!,"""My friend, this is my idea for fun!",60
412,זה לא משהו אישי ילד אבל אני לא ארצה לאכזב את הפקחים ,Nothing personal boy but I wouldn't want to disappoint the Rangers ,It's not something personal kid but I would not want to disappoint the inspectors,72
413,הם חיפשו אחריך כל כך הרבה ועכשיו הם ימצאו אותך!,They was looking so hard for you and now they're gonna find ya ,They have been looking for you so much and now they will find you!,76
414,מה לעזעזל קורה כאן ,What the blaze is going on here ,What the hell is going on here,82
415,ג'ואנה ,Joanna ,Joanna,100
416,את ידעת שהיה לי חזיר-בר במשאית ,Did you know there was a razorback in my truck ,You knew I had a wild boar in the truck,64
417,תפסיקי לשחק ותעשי את העבודה שלך נחש עם ארבע רגליים!,Now you quit playing around and do your job you four-legged python!,Stop playing and do your snake work with four legs!,62
418,היי מה קרה למפתחות שלי ,Hey what happened to them keys ,Hey what happened to my keys,93
419,הם חייבים להיות כאן איפשהו ,Must be around here somewhere ,They must be here somewhere,79
420,הם לא יכלו פשוט לקום וללכת ,It couldn't just get up and walk away ,They could not just get up and go,69
421,משהו מוזר קורה כאן ,Something weird's going on around here ,Something strange is happening here,66
422,אני מריח עכברוש שמן ומסריח ,I smell a big fat rat ,I smell an oily rat and it stinks,63
423,-תראה!,- Look!,- Look!,100
424,זה ברנארד !,It's Bernard ,This is Bernard!,81
425,-אני לא מאמין ,- I don't believe it ,-I do not believe,82
426,גברת ביאנקה ג'ייק תפסו!,Miss Bianca Jake catch!,Mrs. Bianca Jake Caught!,82
427,! יש יותר מדרך אחת לפשוט מחתול את העור ,Whoa! Well there's more than one way to skin a cat ,! There is more than one way to strip a cat of skin,76
428,אני מקווה שאני יודע מה אני עושה ,I hope I know what I'm doing ,I hope I know what I'm doing,100
429,היי רדי ממני!,Hey! Get get off of me!,Hey get off me!,80
430,ג'ואנה מה את  ,Joanna what are you- - Yah!,Joanna what are you,90
431,מה ,What ,what,100
432,ג'ואנה ג'ואנה!,Joanna Joanna!,Joanna Joanna!,100
433,ג'ואנה!,Joanna ,Joanna!,100
434,לטאה טיפשה שכמוך ,You stupid lizard ,A stupid lizard like you,83
435,רדי ממני מטומטמת ,Get- - Get off of me!,Get rid of me dumb,63
436,רדי ממני!,Get- - Get off of me!,Get rid of me!,67
437,אני  ברנארד הילד!,It's Bernard ,I'm Bernard the boy!,65
438,לא!,No!,No!,100
439,לא לא ,Oh no ,no no,80
440,כיסחתי אתכם!,Get off of me you idiot!,I cut you off!,61
441,כיסחתי את כולכם!,I whooped you all!,I covered you all!,65
442,אתם תחשבו פעמיים לפני שתתעסקו 'עם פרסיבל ס מקליץ!,You'll think twice before messin' with Percival C McLeach!,You'll think twice before messing with Percival's Klitz!,85
443,-הנה !,- There ,- Here!,89
444,זה בסדר ,It's okay ,It's OK,88
445,בוא לכאן ,Come on ,come here,62
446,תודה חבר קטן ,Thanks little mate ,Thanks little friend,68
447,הו ברנארד אתה נפלא ,Oh Bernard you are magnificent ,Oh Bernard you are wonderful,62
448,אתה בהחלט הגיבור של היום ,You are absolutely the hero of the day ,You are definitely the hero of today,65
449,גברת ביאנקה לפני שמשהו אחר יקרה  ,Miss Bianca before anything else happens  ,Mrs. Bianca before anything else happens,96
450,-התינשאי לי ,- will you marry me ,-Will you marry me,100
451,-ברנארד ,- Bernard ,- Bernard,100
452,כל הכבוד חבר ,Well done mate ,Well done friend,73
453,בואי נלך הביתה ,Let's all go home ,Let's go home,87
454,מישהו!,Come on ,someone!,71
455,ברנארד!,- Bernard ,Bernard!,100
456,ביאנקה!,Bianca!,Bianca!,100
457,איפה אתם ,Where are you ,where are you,100
458,אני עף מכאן זה מגוכך ,I'm outta here This is ridiculous ,I'm flying from here it's ridiculous,67
459,אתם לא יכולים להשאיר אותי כאן לבד ,You can't leave me here alone ,You can not leave me here alone,97
460,אוי לא ,Oh no ,Oh no,100
461,תשארו בתוך הביצים ,Stay in those eggs ,Stay inside the eggs,84
462,אדוני אנחנו מסתובבים בשטח האוירי המקסיקני10דקותאחרונות  כן  ,Sir we've been skirting Mexican airspace for the last 10 minutes ,Sir we're walking around mexican airspace last 10 minutes yeah,75
463,-היי כן ,- Hey - Yeah ,-Hey yes,80
464,הראתילךאת הביקתהשלי ,Ever show you my cabin ,I showed Liat my cabin,64
465,כל פעם שאנחנו יורדים  אנחנו אנחנו רחוקים 5 מטר ממנה  זווית 243 דקה אחת 900 גובה,From about 10 feet away every time we're down here Two-four-three degrees one minute 900 miles-,Every time we go down we are 5 meters away from it 243 minute angle one 900 height,62
466,זה בסדר אני רואה את זה  ,It's okay ,It's okay I see it,67
467,-אני מעדיף קצת יותר גובה אדוני  -גובה ,I'd prefer a little altitude sir ,-I prefer a little more height sir -height,69
468,-אוקיי,Okay ,-Okay,100
469,מה אתה רוצה שאני אגיד ,- Doug what do you want me to say - Nothing ,what do you want me to say,80
470,-שום דבר רק שיחזרתי זיכרון קטן כן אני זוכר את הטיסה האחרונה שלך  ,Not a goddamn thing I was just making it a time to remember I'll remember my last flight with you ,-Nothing just restored a little memory Yes I remember your last flight,61
471,את היום הקאתי את נשמתי אתה באמת חולה נפש אתהיודעאת זה ,Day I threw up You're really sick you know that ,I vomited my soul the day you are really mentally ill you know it,62
472,תסתכלועלזה !,Look at that ,Look at that!,100
473,-זה מטיברון מנדז,This is from Tiburon Mendez Who ,- It's from Tibron Mendez,81
474,- אז אם תבוא איזו הזמנה של משחק מהם הסתירו את הארנקים שלכם  וזה  זה מכולנו,They are tennis buddies so if an offer for a friendly game comes up hide your wallets ,"- So if you come up with an invitation to a game from them, hide your wallets and that's all of us",62
475,כי ידענו שתתקמצן כדי לקנות אחד כזה לעצמך  מיהיהחושב   ,Because we knew you'd be too cheap to buy one for yourself ,Because we knew you would skimp to buy one for yourself whoever thinks,70
476,לא ספרתי ימים עד לרגע זה ,I haven't counted the days up to this moment ,I did not count days until this moment,71
477,בעצם אהבתי את מה שעשיתי אבל  אבל עשיתי את אותם דברים במהלך השנים האלה,I've liked what I was doing But I've been doing the same thing all these years over and over ,I actually loved what I did but but I did the same things over the years,76
478,ועכשיו יש לי הזדמנות להירגע  בפעם ראשונה בחיי לעשות דברים אחרים  ואניהולךעל זה  ,And now I have the chance to relax and do some other things in my life for the first time  -   and I'm taking it ,And now I have a chance to relax for the first time in my life doing other things and managing you for it,82
479,אתם הטובים מכולם,You're the best ,You are the best of them all,65
480,היה לי כבוד לשרת איתכם,It's been an honor to serve with you ,I had the honor of serving with you,73
481,להפתעתי  להפתעתי הרבה יותר קשה להיפרדממהשחשבתי  ,And to my surprise to my deep surprise it's harder to say goodbye than I thought ,To my surprise I find it much harder to say goodbye than I thought,81
482,הנה יש לי משהו בשבילך,Here I got something here for you ,Here I have something for you,87
483,זה ממני,- This is from me ,It's from me,81
484,זה די גדול,- Hey it's pretty big ,It's pretty big,88
485,-כן זה שביר אז תיזהר,- Well   It's fragile so be careful ,-Yes it's fragile so be careful,92
486,יש פתק תקרא את הפתק  מה תחת של חמור ,There's a tag Read the tag - What a piece of ass ,There is a note you will read the note what the ass of a donkey,64
487,תנסה לזכור לכבות את זה בכל פעם שאתה יוצא טוב ,Try to remember to turn this off every time you leave ,Try to remember to turn it off whenever you come out well,62
488,אני לא יודע בן-אדם,- I don't know man ,I do not know man,91
489,- לא יודע מה ,- I don't know man ,- I do not know what,76
490,טסת כבר לאלסקה בטיול הציד ההוא  ועכשיו הוא ישכנע אותך שתיסע איתו למקסיקו  ,You flew him to Alaska on a hunting trip Now he'll con you into flying for him in Mexico ,You have already flown to Alaska on that hunting trip and now he will convince you to travel with him to Mexico,62
491,איזהמיןשטיותאלה ,What kind of crack is that ,What kind of nonsense is this,65
492,אני נוסע לחופשה אני לא עובד בשביל אף אחד ואני לא מתכוון לעבוד בשביל אף אחד בסדר ,I'm going on a vacation man I don't work for anybody I'm not gonna work for anybody ,I'm going on vacation I'm not working for anyone and I'm not going to work for anyone okay,82
493,אז יש לך מושג מתי אתה חוזר ,So any idea of when you're coming back ,So you have an idea when you're coming back,84
494,לא,Nope ,No,67
495,היי שום דבר לא לנצח בן אדם ,Hey nothing's forever man ,Hey nothing does not beat man,67
496,-היי אתה מכיר אותי,Hey you know me ,-Hey you know me,100
497,תנסה לא להרוס לי את הבית  מאדרו  אני אחשוב אליך  ,Try not to wreck my place Madero I'll be thinking of you ,Try not to ruin my house Madro I will think of you,74
498,-שלום הלכתי לאיבוד קצת חשבתי אם  הכלבסדר ,Hello I'm a little lost I was wondering if  ,- Hello. I got lost. I was wondering if everything was alright,68
499,כן פשוט הוא זרק נעל אולי את יכולה לעזור לי ,Is everything all right Yes he just threw a shoe Well maybe you can help me ,"Yes, he just threw a shoe, maybe you can help me",76
500,אני מנסה למצוא את הבית של מנדז,I'm trying to find the Mendez place ,I'm trying to find Mendez's house,76
501,-אדון קוקראן ,- Mr Cochran ,- Mr. Cochran,100
502,-כן,- Yes ,-Yes,100
503,- גברת  ,- Mrs  ,- Mrs,100
504,-מנדז כן,- Mendez ,-Mendez yes,75
505,-אכן כן זה הגדר הראשונה משמאל,You are It's the first gate on the left ,- Indeed yes this is the first fence on the left,68
506,-תודה,Thank you ,-Thanks,67
507,אבל נחמד  יאללה בוא רוק בוא,Small yeah But nice Come here Rock ,But nice come on let's rock come,70
508,תישאר כאן,Stay Rock ,Stay here,67
509,צהריים טובים אדון קוקראן ציפינו לבואך לפני יומיים  ,Good afternoon Mr Cochran You were expected two days ago ,"Good afternoon, Mr. Kokran. We were expecting you to come two days ago",80
510,-אני בחופשה אז לקחתי לי את הזמן,- I'm on vacation I took my time ,- I'm on vacation so I took my time,95
511,-התיקים שלך ,- Hm - Your bags ,-Your bags,86
512,-הם בג'יפ ,- They're in the jeep ,- They're in the jeep,100
513,תודה יש לנו חדר מוכן בשבילך כאן אני יותר אוהב על החוף מי אתה ,We have prepared a room for you here I like it at the beach ,Thank you we have a room ready for you here I love more on the beach who you are,72
514,רוברטו תודה,Thank you ,"Roberto, thank you",69
515,אני סיזאר,I am Cesar ,I'm Caesar,70
516,אני רק אורח אדון מנדז בבית ,But me I'm a guest Is Mr Mendez at home ,I'm just a Mr. Mendez guest at home,85
517,הוא במגרש טניס אולי תוכל להראות לי איפה אני יכול להחליף בגדים ואז שנינו נהיה מחוץ לצרות  בבקשה אדוני,He's on the tennis court Perhaps you can show me where I can dress and we'll both be out of hot water ,He's at a tennis court. Maybe you can show me where I can change clothes and then we'll both be out of trouble please sir.,74
518,אתה יכול לתאר לעצמך מה זה עשה לתזמון שלי ,Imagine what this has done to my timing ,You can imagine what it did to my timing,71
519,-תפסיק פשוט תפסיק,- Let's just play ,-Stop just stop,62
520,-מה ,- What ,-what,100
521,אני משחק עם מחבט חדש ,Now me I'm playing with a new racket ,I'm playing with a new bat,71
522,אז אני אשקח איתך פייר אני רק רוצה נקודה ראשונה מכל משחק  ,You are It's the first gate on the left ,So I'll take with you Pierre I just want a first point from every game,61
523,"- אשחק פייר כל כך טוב לראות אותך  חיכיתי לך כמו איזה תלמיד ביה""ס מטומטם איפה היית ",I said I'd play you even I play you even Damn it it's good to see you I wait around like a stupid school boy ,- I'll play Pierre so good to see you I've been waiting for you like some dumb school student where have you been,60
524,מה זה אומר ,What does that mean ,What it means,62
525,שאני לא ששכחתי על המגרש של מי אני נמצא אז אל תשכח את זה,It means I haven't forgotten whose court I'm on And don't forget it ,"That I did not forget about who I am on, so do not forget it",65
526,בוא נשחק פשוט,- Let's just play ,Let's just play,100
527,כמה שאתה רוצה,As many as you want ,As many as you'd like,70
528,כי אתה מפספס את הנקודה אמרת הכל ידידי,- Because you never concede a point - Oh you've said a lot my friend ,Because you're missing the point you said everything my friend,67
529,זה כל מה שכולם צריכים לדעת עליי,That's all anyone needs to know about me ,That's all everyone needs to know about me,93
530,שאני אף פעם לא רואה את הנקודה,- They're in the jeep ,That I never see the point,62
531,למדתי את זה מאישתי  הקאביאר לא נימוס  הבאתי לך משהו,I learned this from my wife The caviar Not the manners ,I learned this from my wife Caviar not politely I brought you something,70
532,-בשבילי  -בשבילך,- For me ,-For me -for you,60
533,או זה יפהיפה,Oh it's beautiful ,Or it's beautiful,94
534,אני מת על זה  אני רוצה שאישתי תראה את זה  תקרא לגברת,I love it I want my wife to see it ,I'm dying for it I want my wife to see it call a lady,71
535,-היא יודעת שאנחנו כאן ,Does she know we're eating ,- She knows we're here,74
536,-כן אדוני תגיד לה שאנחנו מחכים,Tell her we're waiting ,-Yes sir tell her we're waiting,85
537,היא בחורה נהדרת לפעמים אני חושב שהייתי צריך להתחתן עם אמא שלה  הרבהיותררגישה  ,She's a wonderful girl Sometimes I think I should have married the mother Much more sensible ,She's a great girl sometimes I think I should have married her much more sensitive mother,84
538,אני מניח שאני חייב לך אה ,I suppose I owe you huh ,I guess I owe you ah,65
539,לא לא לא עכשיו אנחנו תיקו למה אתה מתכוון ,No no no Now we're even - What do you mean ,No no no now we draw what you mean,84
540,-מאוד זאת התחלה טובה בשבילנו מתישהו השנה ניקח את הרובים לאיטליה,Sometime this year we'll take those guns to Italy and have them fitted properly Oh shit All right ,-It's a very good start for us sometime this year we will take the guns to Italy,61
541,-כן אבל אנחנו נמצא זמן לכיף   חשבתיעלטיולציד בבוקר אה ,You know I was thinking about a hunting trip in the morning ,-Yes but we'll find time for fun I thought about a hunting trip in the morning ah,66
542,מה אתה אומר ,As many as you want ,what are you saying,68
543,אתה יודע כשאתה כאן זה כמו אוויר צח בשבילי כן זה טוב גם בשבילי,You know having you here is like a breath of fresh air ,You know when you're here it's like fresh air for me yes it's good for me too,61
544,שככה יהיה לי טוב  אני מת על הכלב הזה  חכה עד שתראה את שלי מחר  אחלה אז מחר  ,Goddamn it Oh I love this dog Wait until you see mine tomorrow ,That's how good I'll be. I'm dying for this dog. Wait until you see mine tomorrow,74
545,למה לא הצטרפת אלינו היום לארוחת הצהריים ,Why didn't you join us for lunch today ,Why did not you join us today for lunch,96
546,דיברתי בטלפון עם אחותי זה היה ממש לא מנומס מצידך,I was on the phone with my sister It was very rude ,I talked on the phone with my sister it was really rude of you,75
547,הייתי מובך,I was embarrassed ,I was embarrassed,100
548,-חשבתי שאתה רוצה להיות לבד   מיראיה זה לא עסקים,I thought that you wanted to be alone Miryea this is not business ,- I thought you want to be alone Miraya is not business,88
549,קוקראן הוא חבר שלי אם הוא אומר לי לא,Cochran is a friend of mine He says no to me and I-,Cochran is my friend if he tells me no,73
550,-אני מכבד את זה חוץ מזה הוא הציל את החיים שלי פעם,I respect that Besides he saved my life once on a hunting trip ,-I respect that besides he saved my life once,83
551,בטיול ציד אני חייב לו  אני מתנצלת אם הייתי גסת רוח,I owe him I'm sorry if I was rude ,On a hunting trip I owe him I apologize if I was rude,65
552,- אתה יודע מה קרה  עברנו על זה כל כך הרבה פעמים  אני לא רוצה ילד נוסף,You know what's the matter We've been through this so many times I don't want another child ,- You know what happened we went through it so many times I do not want another child,75
553,הייתי אבא של תריסר ילדים לפני שעוד נולדת  ,I fathered a dozen children before you were born ,I was the father of a dozen children before you were even born,84
554,יש לך גוף יפה יותר מידי יפה בשביל לסחוב שם ילד  ,You have a beautiful body Too beautiful for bearing children ,You have a body that is too beautiful to carry a child there,63
555,מחר בבוקר אנו יוצאים לציד עם הכלבים אני מצפה ממך שתהיי שם ,Tomorrow morning we're going hunting with the dogs I expect you to be there ,Tomorrow morning we go hunting with the dogs I expect you to be there,96
556,בליתירוצים!,No excuses ,no excuses!,100
557,צהריים טובים מה קרה ,- Good afternoon ,Good afternoon what happened,67
558,-אני מצטער אני מצטער אני מצטער הלכתי לאיבוד ,What happened I'm sorry I'm sorry ,-I'm sorry I'm sorry I'm lost,66
559,-מה אתה לא יודע קרוא מפה ,No no no Now we're even - What do you mean ,- What you do not know Read here,66
560,היה לי את מה שנתת לי אבל לא הבנתי כלום אתה הכנת את זה סיזאר ,I got what you gave me but I can't follow the instructions You make this ,I had what you gave me but I did not understand anything you made it Caesar,61
561,-הוא רק צוחק,- Oh he's only kidding ,- He's just kidding,65
562,היי זה בוקר משגע רוצה קצת קפה חם ,Hey it's a bitch of a morning You want some hot coffee huh ,Hey this is a crazy morning want some hot coffee,68
563,יש לי פוליטיקאי שלא מסוגל לקבל החלטה לבד  יקירתי את תתקררי,I have a politician who's unable to make a decision - You're going to catch cold ,"I have a politician who is unable to make a decision on my own, my dear",69
564,לא אני בסדר,No I'm fine ,No I'm fine,100
565,-או ג'יי זאת מיראיה אישתי   זה ג'יי קוקראן,Oh Jay this is Miryea my wife This is Jay Cochran ,-OJ it's Miraya my wife it's Jay Cockran,77
566,חבר שלי טיבי סיפר לי המון עליך,My friend Tibey's told me a lot about you ,My friend Tibi told me a lot about you,94
567,מה כל כך מצחיק ,What the hell's so funny ,What's so funny,77
568,זה לא כזה גרוע  בקרופול ברחובות של קוליקאניו אתה תעריך את זה  ,Well still this isn't bad You grow up on the streets of Culiacan you appreciate this ,It's not that bad in the crop on the streets of Cologne you will appreciate it,70
569,-לא משנה מאיפה אתה בא,- No matter where you come from ,- No matter where you come from,100
570,-בדיוק אם היה לי כלב באותם ימים הייתי אוכל אותו או טיבי  ,It's not the same If I had a dog then I would have eaten it - Oh Tibey ,-Just if I had a dog in those days I would eat him or Tibi,67
571,-הכל בסדר עם קמיונס ,Everything okay with Quinones ,-Everything is fine with Communities,62
572,אני מצטער ג'יי אני חייב לרוץ האם זה אומר שאנחנו מוותרים על הארוחת העבר ,I'm sorry Jay I - I have to go We're not having dinner tonight ,I'm sorry Jay I have to run does that mean we're giving up the past meal,61
573,בטח שלא ג'יי אתה תצטרף אלינו לא ,Oh of course we are Jay you're gonna join us ,Of course not Jay you will join us no,72
574,-אני לא חייב,- I don't have to ,- I do not have to,90
575,תבטל את כל המוזמנים לארוחת הערב הלילה חוץ מטיבארה ודיאז  ,cancel everyone for dinner tonight Except Ibarra and Diaz ,Cancel all guests for dinner tonight except Tibara and Diaz,81
576,לא לא  ,No no ,no no,100
577,קאנזס סיטי מיזורי יש גם קנזס סיטי בקנזס אבל אנחנו ממיזורי במקור אבל כשעבדנו בלאס וגאס שם פגשנו את פרופארי וסיסקו,K C  Kansas City Missouri There's also Kansas City Kansas We're from Missouri originally ,Kansas City Missouri There is also Kansas City in Kansas but we are originally from Missouri but when we worked in Las Vegas there we met Propari and Cisco,69
578,ואתם יודעים מה ,What happened You see no action ,And you know what,62
579,הם הציעו לנו עבודה,They offered us a job ,They offered us a job,100
580,אתה אוהב קוזימל ,You know CozumeI ,You love Cozimel,69
581,יש לנו מקום שם לי ולדיאז,I have a place there me and Diaz ,We have a place there for me and Diaz,87
582,סליחה תביני שאני בא מאותם רחובות כמו שבעלך  או ציד ,The marlin a fucking boatload of marlin Excuse me Understand we come from the same streets as your husband ,Sorry understand you come from the same streets as your husband or hunting,69
583,אתה אוהב ציד ,Or hunting You prefer hunting ,You love hunting,62
584,יש לי מקום ב   ,- I have a place in-,I have a place in,100
585,מה קרה ,How did that happen ,What happened,69
586,לא ראית שם אקשן ,What happened You see no action ,You did not see any action there,73
587,קוקראן הוא טייס ,Mr Cochran is a pilot ,Cochran is a pilot,92
588,שמו ידוע בכל העולם  מטוסים אה ,He's known all over the world Jets huh ,His name is known all over the world for aircraft eh,67
589,כן משהו כזה  אתה יודע מה הדבר הכי גדול שהרגתי ,Yeah Something like that You know the biggest thing that I ever killed was a jaguar ,Yes something like this you know what the biggest thing I've killed,75
590,הוא היה 4 מטר כולל הזנב שלו  אתה יודע במה הרגתו אותו ,He stood 9 feet tall including the taiI You know what I used ,He was 4 feet including his tail you know how you killed him,62
591,האוטו שלך,Your car ,Your car,100
592,זה ממש חכם  ,That's pretty damn smart ,That's really smart,74
593,זה נכון הוא ישב על הכביש,That's right He was sitting in the roadway ,It's true he was sitting on the road,77
594,תסלחי לנו יקירתי אנחנו הולכים לדון בעסקים,- Will you please excuse us - Yes We're going to discuss some business ,"Excuse us dear, we're going to discuss business",73
595,זה קנסז סיטי נכון ,It was Kansas City right Right ,This is Kansas City right,80
596,-אולי   מר ,- Maybe Mr Cochran ,-Maybe Mr.,67
597,תסלחו לי,- Excuse me ,excuse me,100
598,קוקראן,- Maybe Mr Cochran ,Cochrane,67
599,אני בטוחה שטיבי היה רוצה שתישאר  אתן אוהבות לשחות ,I'm sure Tibey would want you to stay Do you like swimming - Yeah sure ,I'm sure Tibi would like you to stay and love swimming,75
600,-מצאת אחד הספרים הכי אהובים עליי זה של פדריקו גארסיה,Do whatever you like Hi You found one of my favorite books ,- You found one of my favorite books is that of Federico Garcia,71
601,בטח יש לי אותו מתורגם לאנגלית  ,I must have it in English ,I must have it translated into English,79
602,"""מעל מטוס דרך הרוח""",Over the plain Through the wind,"""Above a plane through the wind""",85
603,""" סוס שחור ירח אדום""",Black horse red moon,"""Black Horse Red Moon""",100
604,""" מוות מביט אליי ממרומי הקורדובה""",Death stares at me From the towers of Cordoba ,"""Death looks at me from the heights of Cordoba""",69
